Accession	Start	Stop	Tool
NZ_CP069853.1	1885041	1886287	CRISPRDetect
NZ_CP070999.1	957272	958694	CRISPRDetect
NZ_CP070999.1	1463207	1464517	CRISPRDetect
NZ_CP062763.1	1128324	1128536	CRISPRDetect
NZ_CP071460.1	1496502	1496999	CRISPRDetect
NZ_CP009747.1	221542	222651	CRISPRDetect
NZ_CP009747.1	231406	233479	CRISPRDetect
NZ_CP069978.1	2053856	2054245	CRISPRDetect
NZ_CP069978.1	2063303	2063813	CRISPRDetect
NZ_CP070306.1	139139	139294	CRISPRDetect
NZ_CP070534.1	2424369	2424697	CRISPRDetect
NZ_CP070534.1	2442006	2442876	CRISPRDetect
NZ_CP070534.1	2452353	2453045	CRISPRDetect
NZ_CP051363.1	948676	950290	CRISPRDetect
NZ_CP051363.1	966422	967062	CRISPRDetect
NZ_CP051363.1	1619644	1620212	CRISPRDetect
NZ_CP061948.1	1040975	1042465	CRISPRDetect
NZ_CP062719.1	1128294	1128506	CRISPRDetect
NC_018709.4	1448577	1448811	CRISPRDetect
NZ_CP041932.1	82135	83590	CRISPRDetect
NZ_CP041932.1	852193	854438	CRISPRDetect
NZ_CP061023.1	648641	649401	CRISPRDetect
NZ_CP061023.1	887296	888490	CRISPRDetect
NZ_CP061023.1	1390292	1390658	CRISPRDetect
NZ_CP070323.1	2988373	2988768	CRISPRDetect
NZ_CP064000.1	1821397	1824260	CRISPRDetect
NZ_CP071366.1	2166779	2166930	CRISPRDetect
NZ_CP062782.1	1128336	1128548	CRISPRDetect
NZ_CP062771.1	1128300	1128512	CRISPRDetect
NZ_CP071338.1	2079558	2079709	CRISPRDetect
NZ_CP070320.1	2988556	2988768	CRISPRDetect
NZ_CP070994.1	796627	796864	CRISPRDetect
NZ_CP070994.1	1256951	1257246	CRISPRDetect
NZ_CP063969.1	3824713	3824925	CRISPRDetect
NZ_CP063969.1	3843139	3843534	CRISPRDetect
NC_018720.1	1805097	1814033	CRISPRDetect
NZ_CP062758.1	1121931	1122143	CRISPRDetect
NZ_CP070572.1	2704909	2705305	CRISPRDetect
NZ_CP070572.1	2714218	2715040	CRISPRDetect
NZ_CP070906.1	1067969	1068425	CRISPRDetect
NZ_CP070906.1	1095309	1096192	CRISPRDetect
NZ_CP070906.1	3122710	3122859	CRISPRDetect
NZ_CP071441.1	1883437	1884199	CRISPRDetect
NZ_CP071441.1	1899700	1900522	CRISPRDetect
NZ_CP066794.1	2896195	2896524	CRISPRDetect
NZ_CP066794.1	2905987	2907971	CRISPRDetect
NZ_CP066794.1	2918878	2921040	CRISPRDetect
NZ_CP062729.1	1128324	1128536	CRISPRDetect
NZ_CP071869.1	1385753	1391572	CRISPRDetect
NZ_CP071885.1	2106366	2108282	CRISPRDetect
NZ_CP071885.1	2606773	2607142	CRISPRDetect
NZ_CP071885.1	2638150	2638918	CRISPRDetect
NZ_CP072054.1	3879374	3879769	CRISPRDetect
NZ_CP072054.1	3905318	3906081	CRISPRDetect
NZ_CP071345.1	2143898	2144049	CRISPRDetect
NZ_CP063487.1	2813333	2813973	CRISPRDetect
NZ_CP063487.1	2839522	2840039	CRISPRDetect
NZ_CP063492.1	2530604	2530810	CRISPRDetect
NZ_CP063492.1	4613060	4614126	CRISPRDetect
NZ_CP063492.1	4639828	4640406	CRISPRDetect
NC_019395.1	3151396	3152645	CRISPRDetect
NC_019395.1	3154133	3156176	CRISPRDetect
NC_019395.1	3156565	3160255	CRISPRDetect
NZ_CP063958.1	3849186	3849398	CRISPRDetect
NZ_CP063958.1	3867631	3868026	CRISPRDetect
NZ_CP071795.1	1035278	1036844	CRISPRDetect
NZ_CP072801.1	1039911	1041252	CRISPRDetect
NZ_CP072801.1	1153167	1157684	CRISPRDetect
NZ_CP072801.1	2563557	2564425	CRISPRDetect
NZ_CP072801.1	2580887	2581544	CRISPRDetect
NZ_CP072801.1	2582679	2583554	CRISPRDetect
NZ_CP072801.1	3757012	3758296	CRISPRDetect
NZ_CP059956.1	878296	879765	CRISPRDetect
NZ_CP070858.1	967094	968516	CRISPRDetect
NZ_CP070858.1	1471270	1472580	CRISPRDetect
NZ_CP071984.1	947255	947451	CRISPRDetect
NZ_CP071344.1	2076658	2076809	CRISPRDetect
NZ_CP071344.1	2195409	2195605	CRISPRDetect
NZ_CP071361.1	2167352	2167503	CRISPRDetect
NZ_CP071361.1	2286622	2286818	CRISPRDetect
NZ_CP058361.1	2205826	2206281	CRISPRDetect
NZ_CP058361.1	2215034	2215794	CRISPRDetect
NZ_CP073011.1	3137654	3138018	CRISPRDetect
NZ_CP073011.1	3146207	3146441	CRISPRDetect
NZ_CP073011.1	3205964	3206257	CRISPRDetect
NZ_CP073011.1	3210288	3210918	CRISPRDetect
NZ_CP062766.1	1128324	1128536	CRISPRDetect
NC_018586.1	498651	499007	CRISPRDetect
NC_018586.1	2697203	2698759	CRISPRDetect
NC_016934.1	3124974	3125160	CRISPRDetect
NC_016934.1	3125410	3125594	CRISPRDetect
NC_016934.1	3127146	3127689	CRISPRDetect
NC_016934.1	3128225	3128702	CRISPRDetect
NZ_CP071130.1	31627	32569	CRISPRDetect
NZ_CP071130.1	86896	89286	CRISPRDetect
NZ_CP071130.1	98466	100661	CRISPRDetect
NZ_CP061949.1	113520	114702	CRISPRDetect
NZ_CP071347.1	2197292	2197443	CRISPRDetect
NZ_CP063979.1	3845925	3846137	CRISPRDetect
NZ_CP063979.1	3864370	3864765	CRISPRDetect
NZ_CM001772.1	1449763	1451352	CRISPRDetect
NZ_CM001772.1	1749480	1756892	CRISPRDetect
NZ_CP061799.1	2035767	2040446	CRISPRDetect
NZ_CP061799.1	2042584	2043892	CRISPRDetect
NZ_CP061799.1	2769627	2773395	CRISPRDetect
NZ_CP061799.1	3257605	3271070	CRISPRDetect
NZ_CP061799.1	3620596	3621210	CRISPRDetect
NZ_CP061799.1	3623524	3624219	CRISPRDetect
NZ_CP061799.1	4388516	4395561	CRISPRDetect
NZ_CP061799.1	4395732	4405081	CRISPRDetect
NZ_CP071364.1	2170382	2170533	CRISPRDetect
NZ_CP066194.1	3880778	3881329	CRISPRDetect
NZ_CP066194.1	3891065	3891553	CRISPRDetect
NZ_CP071332.1	2166884	2167035	CRISPRDetect
NZ_CP064001.1	4585032	4591319	CRISPRDetect
NC_019396.1	25559	25997	CRISPRDetect
NC_019396.1	99852	100125	CRISPRDetect
NZ_CP071367.1	2156131	2156282	CRISPRDetect
NZ_CP071367.1	2274411	2274607	CRISPRDetect
NZ_CP062780.1	1128323	1128535	CRISPRDetect
NZ_CP071359.1	2110435	2110586	CRISPRDetect
NZ_CP071280.1	218270	219030	CRISPRDetect
NZ_CP064110.1	74463	75828	CRISPRDetect
NZ_CP072375.1	486790	495081	CRISPRDetect
NZ_CP072375.1	598035	604535	CRISPRDetect
NZ_CP074092.1	3076617	3078155	CRISPRDetect
NZ_CP074092.1	3094287	3096268	CRISPRDetect
NZ_CP071733.1	1923559	1923766	CRISPRDetect
NZ_CP071888.1	2106368	2108284	CRISPRDetect
NZ_CP071888.1	2606775	2607144	CRISPRDetect
NZ_CP071888.1	2638152	2638920	CRISPRDetect
NC_019680.1	1105084	1107483	CRISPRDetect
NC_019680.1	1147365	1150201	CRISPRDetect
NC_019680.1	2809537	2815132	CRISPRDetect
NZ_CP040410.1	638406	639695	CRISPRDetect
NZ_CP040422.1	766412	767306	CRISPRDetect
NZ_CP040422.1	769204	770429	CRISPRDetect
NZ_AP024480.1	2401733	2404380	CRISPRDetect
NZ_AP024480.1	2407822	2424183	CRISPRDetect
NZ_AP024480.1	2490715	2490940	CRISPRDetect
NZ_AP024480.1	2495395	2497144	CRISPRDetect
NZ_AP024480.1	2507053	2511620	CRISPRDetect
NZ_CP071887.1	2106368	2108284	CRISPRDetect
NZ_CP071887.1	2606751	2607120	CRISPRDetect
NZ_CP071887.1	2638128	2638896	CRISPRDetect
NZ_CP072764.1	3124181	3125465	CRISPRDetect
NZ_CP072764.1	3126858	3128573	CRISPRDetect
NZ_CP072331.1	100116	109680	CRISPRDetect
NZ_CP067091.1	3013950	3015488	CRISPRDetect
NZ_CP067091.1	3031620	3033601	CRISPRDetect
NZ_CP071360.1	2167384	2167535	CRISPRDetect
NZ_CP067299.1	3417202	3417904	CRISPRDetect
NZ_CP067299.1	3443453	3443848	CRISPRDetect
NZ_CP072262.1	2527845	2534895	CRISPRDetect
NZ_CP071342.1	2192283	2192434	CRISPRDetect
NZ_CP071807.1	2436376	2437136	CRISPRDetect
NZ_CP071807.1	2505758	2505994	CRISPRDetect
NZ_CP059467.1	2067887	2068281	CRISPRDetect
NZ_CP059467.1	2071080	2076602	CRISPRDetect
NZ_CP071522.1	3272661	3273050	CRISPRDetect
NZ_CP071522.1	3282108	3282618	CRISPRDetect
NZ_CM001632.1	170017	170507	CRISPRDetect
NZ_CM001632.1	175131	176124	CRISPRDetect
NZ_CM001632.1	215784	215939	CRISPRDetect
NZ_CM001632.1	2322479	2322673	CRISPRDetect
NZ_CM001632.1	2988089	2989912	CRISPRDetect
NZ_CM001632.1	3064508	3066387	CRISPRDetect
NZ_CM001632.1	4326393	4327218	CRISPRDetect
NZ_CP067307.1	1637446	1637595	CRISPRDetect
NZ_CP067307.1	3761095	3761551	CRISPRDetect
NZ_CP067307.1	3787236	3787509	CRISPRDetect
NZ_CP072661.1	2871615	2872378	CRISPRDetect
NZ_CP072661.1	2897927	2898322	CRISPRDetect
NZ_CP072722.1	91136	91304	CRISPRDetect
NZ_CP065143.1	855428	855995	CRISPRDetect
NZ_CP065143.1	864947	869063	CRISPRDetect
NZ_CP065143.1	4763660	4765216	CRISPRDetect
NZ_CP071102.1	1195931	1196127	CRISPRDetect
NC_019757.1	1088841	1090260	CRISPRDetect
NC_019757.1	1101502	1103135	CRISPRDetect
NC_019757.1	1200726	1200911	CRISPRDetect
NC_019757.1	3350944	3351638	CRISPRDetect
NC_019757.1	3829839	3832321	CRISPRDetect
NC_019757.1	4058587	4060552	CRISPRDetect
NC_019757.1	4384964	4385150	CRISPRDetect
NC_019757.1	4707333	4708568	CRISPRDetect
NC_019757.1	4718418	4718601	CRISPRDetect
NC_019757.1	4718802	4719491	CRISPRDetect
NC_019757.1	5966534	5968601	CRISPRDetect
NC_019757.1	6628933	6629193	CRISPRDetect
NC_019757.1	6781582	6782134	CRISPRDetect
NC_019757.1	6914375	6915669	CRISPRDetect
NZ_CP072620.1	540506	540657	CRISPRDetect
NZ_CP072620.1	2614915	2615188	CRISPRDetect
NZ_CP072620.1	2950136	2950607	CRISPRDetect
NZ_CP067250.1	3581845	3582547	CRISPRDetect
NZ_CP067250.1	3608096	3608430	CRISPRDetect
NZ_CP058557.1	1857002	1866158	CRISPRDetect
NZ_CP073752.1	778319	778548	CRISPRDetect
NZ_CP073752.1	1324391	1325345	CRISPRDetect
NZ_CP073752.1	1533733	1534420	CRISPRDetect
NZ_CP073752.1	1645105	1645399	CRISPRDetect
NZ_CP073752.1	1737782	1738139	CRISPRDetect
NZ_CP073752.1	1740003	1740292	CRISPRDetect
NZ_CP073752.1	1877571	1878787	CRISPRDetect
NZ_CP073752.1	2228148	2228774	CRISPRDetect
NZ_CP073752.1	3300333	3301947	CRISPRDetect
NZ_CP073752.1	3547282	3547905	CRISPRDetect
NZ_CP071732.1	257349	259409	CRISPRDetect
NZ_CP040415.1	653107	653803	CRISPRDetect
NZ_CP040415.1	655700	656330	CRISPRDetect
NZ_CP044013.1	604710	610276	CRISPRDetect
NZ_CP044013.1	610840	610996	CRISPRDetect
NZ_CP044013.1	999834	1006477	CRISPRDetect
NZ_CP061024.1	667510	669722	CRISPRDetect
NZ_CP061024.1	908755	909882	CRISPRDetect
NZ_CP061024.1	1384423	1385779	CRISPRDetect
NZ_CP072986.1	984592	984987	CRISPRDetect
NZ_CP072986.1	1010536	1011299	CRISPRDetect
NC_019679.1	21556	22095	CRISPRDetect
NZ_CP072422.1	2237721	2238176	CRISPRDetect
NZ_CP072422.1	2246928	2248115	CRISPRDetect
NZ_CP071886.1	2106366	2108282	CRISPRDetect
NZ_CP071886.1	2606773	2607142	CRISPRDetect
NZ_CP071886.1	2638150	2638918	CRISPRDetect
NZ_CP067391.1	1109896	1111087	CRISPRDetect
NZ_CP067391.1	1793870	1794143	CRISPRDetect
NZ_CP066179.1	2743532	2744084	CRISPRDetect
NZ_CP066179.1	2753479	2754294	CRISPRDetect
NZ_CP066179.1	2883743	2884108	CRISPRDetect
NZ_CP072246.1	80135	81562	CRISPRDetect
NZ_CP072246.1	2981111	2981343	CRISPRDetect
NZ_CP074088.1	32169	33172	CRISPRDetect
NZ_AP024342.1	1033298	1034585	CRISPRDetect
NZ_AP024342.1	1043338	1043966	CRISPRDetect
NZ_CP072825.1	3542640	3545289	CRISPRDetect
NZ_CP072825.1	5291811	5292754	CRISPRDetect
NZ_CP073365.1	1365678	1366046	CRISPRDetect
NZ_CP073365.1	1366503	1367473	CRISPRDetect
NZ_CP073365.1	1368406	1369762	CRISPRDetect
NZ_CP073365.1	1377673	1378970	CRISPRDetect
NZ_CP073365.1	5221031	5221215	CRISPRDetect
NZ_CP072181.1	2312244	2315514	CRISPRDetect
NC_019780.1	927038	927223	CRISPRDetect
NZ_CP048738.1	960669	963395	CRISPRDetect
NZ_CP048738.1	972928	973425	CRISPRDetect
NZ_CP048738.1	1256909	1258188	CRISPRDetect
NZ_CP048738.1	1505570	1506148	CRISPRDetect
NZ_CP048738.1	3193333	3194022	CRISPRDetect
NZ_CP048738.1	3202080	3203364	CRISPRDetect
NZ_CP048738.1	3236080	3238382	CRISPRDetect
NZ_CP072793.1	1640848	1641656	CRISPRDetect
NZ_CP072793.1	2803882	2809738	CRISPRDetect
NZ_CP072793.1	2812205	2815244	CRISPRDetect
NZ_CP047002.1	1959686	1960874	CRISPRDetect
NZ_CP047002.1	1986576	1987154	CRISPRDetect
NZ_CP072800.1	1815283	1818951	CRISPRDetect
NZ_CP072800.1	1834881	1840142	CRISPRDetect
NZ_CP072800.1	2518493	2536594	CRISPRDetect
NZ_CP072800.1	3082573	3084613	CRISPRDetect
NZ_CP072800.1	3097131	3099712	CRISPRDetect
NZ_CP056122.1	2921852	2925240	CRISPRDetect
NZ_CP048105.1	1185119	1186811	CRISPRDetect
NZ_CP048105.1	1689261	1689759	CRISPRDetect
NZ_CP072119.1	4238315	4238523	CRISPRDetect
NZ_CP072244.1	1740211	1741329	CRISPRDetect
NZ_AP023354.1	1159581	1160184	CRISPRDetect
NZ_CP007254.1	2950778	2951357	CRISPRDetect
NZ_CP007254.1	2967508	2968270	CRISPRDetect
NZ_CP072787.1	1805585	1806216	CRISPRDetect
NZ_CP072787.1	1815272	1816140	CRISPRDetect
NZ_CP072358.1	112907	115161	CRISPRDetect
NZ_CP065398.1	100651	101052	CRISPRDetect
NZ_CP065398.1	103586	104043	CRISPRDetect
NZ_CP072492.1	2297776	2298293	CRISPRDetect
NZ_CP072492.1	2307046	2307928	CRISPRDetect
NC_019703.1	2281100	2282807	CRISPRDetect
NC_019703.1	3405789	3405982	CRISPRDetect
NZ_CP040416.1	698316	699259	CRISPRDetect
NZ_CP040417.1	103628	104267	CRISPRDetect
NZ_CP040417.1	1804659	1805092	CRISPRDetect
NC_019695.1	3355658	3356062	CRISPRDetect
NC_019695.1	3356802	3360949	CRISPRDetect
NZ_CP066184.1	2927364	2927916	CRISPRDetect
NZ_CP066184.1	2937311	2938126	CRISPRDetect
NZ_CP066184.1	3067574	3067939	CRISPRDetect
NZ_CP072941.1	91492	91875	CRISPRDetect
NZ_CP073768.1	1026713	1027108	CRISPRDetect
NZ_CP073768.1	1047868	1048628	CRISPRDetect
NZ_CP054307.1	51738	54719	CRISPRDetect
NZ_CP072765.1	3124182	3125466	CRISPRDetect
NZ_CP072765.1	3126859	3128574	CRISPRDetect
NC_019770.1	1760812	1761377	CRISPRDetect
NZ_CP072628.1	540505	540656	CRISPRDetect
NZ_CP072628.1	2614832	2615105	CRISPRDetect
NZ_CP072628.1	2950165	2950636	CRISPRDetect
NZ_CP072359.1	409641	412147	CRISPRDetect
NZ_CP072359.1	1087999	1092349	CRISPRDetect
NZ_CP046532.1	1087141	1087958	CRISPRDetect
NZ_CP046532.1	1976735	1978632	CRISPRDetect
NZ_CP072763.1	3124182	3125466	CRISPRDetect
NZ_CP072763.1	3126859	3128574	CRISPRDetect
NZ_CP072639.1	482733	488652	CRISPRDetect
NZ_CP072639.1	1083333	1083735	CRISPRDetect
NZ_CP069605.1	1676884	1678040	CRISPRDetect
NZ_CP069605.1	4025007	4025576	CRISPRDetect
NZ_CP069605.1	4034291	4035762	CRISPRDetect
NZ_CP058558.1	53952	54226	CRISPRDetect
NZ_CP075061.1	1718348	1718678	CRISPRDetect
NZ_CP075061.1	1727739	1728967	CRISPRDetect
NZ_CP075061.1	3659030	3659732	CRISPRDetect
NZ_CP075061.1	3675231	3675809	CRISPRDetect
NZ_CP075503.1	263061	263270	CRISPRDetect
NZ_CP073317.1	1907629	1909183	CRISPRDetect
NC_019042.1	1130921	1132212	CRISPRDetect
NC_019042.1	1581277	1582233	CRISPRDetect
NZ_CP054306.1	1038483	1039453	CRISPRDetect
NZ_CP054306.1	1618796	1619124	CRISPRDetect
NZ_CP075303.1	82024	82725	CRISPRDetect
NZ_CP042908.1	889374	898792	CRISPRDetect
NZ_CP042908.1	1679224	1688359	CRISPRDetect
NZ_CP042908.1	1701480	1703561	CRISPRDetect
NZ_CP075516.1	2179069	2179216	CRISPRDetect
NZ_CP072380.1	2364072	2366936	CRISPRDetect
NZ_CP075512.1	2179073	2179224	CRISPRDetect
NZ_CP072626.1	2614840	2615296	CRISPRDetect
NZ_CP072626.1	2950127	2950598	CRISPRDetect
NZ_CP072329.1	1024396	1025684	CRISPRDetect
NZ_CP049187.1	776647	776816	CRISPRDetect
NZ_CP049187.1	1215506	1215935	CRISPRDetect
NZ_AP024582.1	1064385	1064963	CRISPRDetect
NZ_AP024582.1	1092112	1093178	CRISPRDetect
NZ_CP072624.1	540952	541103	CRISPRDetect
NZ_CP072624.1	2615303	2615698	CRISPRDetect
NZ_CP072624.1	2950474	2950945	CRISPRDetect
NZ_CP072210.1	983391	984687	CRISPRDetect
NZ_CP072210.1	4950897	4951713	CRISPRDetect
NZ_CP073248.1	3096839	3097418	CRISPRDetect
NZ_CP073248.1	3106296	3106447	CRISPRDetect
NZ_CP073284.1	2436287	2437047	CRISPRDetect
NZ_CP073284.1	2505669	2505905	CRISPRDetect
NC_011529.1	294114	295761	CRISPRDetect
NC_011529.1	728608	730179	CRISPRDetect
NC_011529.1	818816	819904	CRISPRDetect
NC_011529.1	828033	828821	CRISPRDetect
NC_011529.1	994457	997977	CRISPRDetect
NZ_CP073669.1	91015	91203	CRISPRDetect
NZ_LT618783.1	2042081	2045019	CRISPRDetect
NZ_LT618783.1	2046491	2046955	CRISPRDetect
NZ_LT618783.1	2050901	2051519	CRISPRDetect
NZ_CP047240.1	1718780	1719646	CRISPRDetect
NZ_CP047240.1	1733404	1733629	CRISPRDetect
NZ_CP047240.1	1733909	1734558	CRISPRDetect
NZ_CP047240.1	1735103	1735330	CRISPRDetect
NZ_CP047240.1	1736680	1737197	CRISPRDetect
NZ_CP047240.1	1737742	1738100	CRISPRDetect
NZ_CP007528.1	1291293	1291993	CRISPRDetect
NZ_CP007528.1	1308145	1308724	CRISPRDetect
NZ_CP007528.1	1967715	1968283	CRISPRDetect
NC_020163.1	3609809	3610387	CRISPRDetect
NC_020163.1	3636085	3636602	CRISPRDetect
NZ_CP072641.1	391758	392145	CRISPRDetect
NZ_CP072641.1	986990	995289	CRISPRDetect
NZ_CP075316.1	2448416	2448994	CRISPRDetect
NZ_CP075316.1	2457747	2458453	CRISPRDetect
NZ_CP075296.1	82024	82725	CRISPRDetect
NZ_CP076008.1	1060600	1062762	CRISPRDetect
NZ_LT907988.1	1311640	1311792	CRISPRDetect
NC_019965.1	3164522	3165205	CRISPRDetect
NZ_CP073766.1	3035041	3036847	CRISPRDetect
NZ_CP073766.1	5413078	5413958	CRISPRDetect
NZ_CP073766.1	7414786	7416396	CRISPRDetect
NZ_CP042282.1	3698477	3699296	CRISPRDetect
NZ_LT853882.1	379760	379967	CRISPRDetect
NZ_LT853882.1	630749	633237	CRISPRDetect
NZ_CP046600.1	59243	59383	CRISPRDetect
NZ_LT604998.1	2181462	2185412	CRISPRDetect
NZ_LT607411.1	4567681	4572128	CRISPRDetect
NZ_LT607411.1	4573214	4583474	CRISPRDetect
NZ_LT607411.1	4592340	4594587	CRISPRDetect
NZ_LT838200.1	1010179	1010758	CRISPRDetect
NZ_LT838200.1	1037780	1038541	CRISPRDetect
NZ_CP072622.1	540540	540691	CRISPRDetect
NZ_CP072622.1	2614891	2615286	CRISPRDetect
NZ_CP072622.1	2950062	2950533	CRISPRDetect
NZ_CP075682.1	1014388	1019594	CRISPRDetect
NZ_CP075257.1	30068	31189	CRISPRDetect
NZ_CP075683.1	1294313	1294940	CRISPRDetect
NZ_CP075683.1	1777346	1778495	CRISPRDetect
NZ_CP075683.1	2103962	2106895	CRISPRDetect
NZ_CP075683.1	2171593	2172567	CRISPRDetect
NZ_CP075683.1	2282668	2285135	CRISPRDetect
NZ_CP075683.1	3217639	3219763	CRISPRDetect
NZ_CP074580.1	5164742	5165197	CRISPRDetect
NZ_CP074580.1	5173949	5175136	CRISPRDetect
NZ_CP075685.1	1294312	1294939	CRISPRDetect
NZ_CP075685.1	1777345	1778494	CRISPRDetect
NZ_CP075685.1	2103960	2106893	CRISPRDetect
NZ_CP075685.1	2171591	2172565	CRISPRDetect
NZ_CP075685.1	2282666	2285133	CRISPRDetect
NZ_CP075685.1	3217637	3219761	CRISPRDetect
NC_019970.1	266775	269561	CRISPRDetect
NC_019970.1	2643367	2668992	CRISPRDetect
NZ_CP076301.1	2066771	2067409	CRISPRDetect
NZ_CP076301.1	2094546	2094880	CRISPRDetect
NZ_CP076305.1	3497213	3497791	CRISPRDetect
NZ_CP076305.1	3520176	3520693	CRISPRDetect
NZ_LN898144.1	207463	209480	CRISPRDetect
NZ_CP075559.1	237261	238328	CRISPRDetect
NZ_LT615376.1	2874005	2874768	CRISPRDetect
NZ_LT615376.1	2900317	2900712	CRISPRDetect
NZ_LT899687.1	751606	752368	CRISPRDetect
NZ_CP064938.1	2490121	2490938	CRISPRDetect
NZ_CP036034.1	1870611	1870797	CRISPRDetect
NZ_LT629801.1	6221411	6221976	CRISPRDetect
NZ_CP070227.1	1805585	1806216	CRISPRDetect
NZ_CP070227.1	1815272	1816140	CRISPRDetect
NZ_LR134363.1	1199408	1200012	CRISPRDetect
NZ_LR134363.1	1201943	1202404	CRISPRDetect
NZ_LR134363.1	1634294	1638642	CRISPRDetect
NZ_LR134363.1	1639827	1643517	CRISPRDetect
NZ_LR134363.1	2802943	2803485	CRISPRDetect
NZ_LT629700.1	1443452	1448606	CRISPRDetect
NC_019956.1	95912	96657	CRISPRDetect
NZ_CP036084.1	2047393	2047579	CRISPRDetect
NZ_LR812491.1	2120151	2120366	CRISPRDetect
NZ_LR812491.1	2143162	2143873	CRISPRDetect
NZ_LR812491.1	2617353	2617549	CRISPRDetect
NC_020064.1	445438	446016	CRISPRDetect
NC_020064.1	458396	459383	CRISPRDetect
NC_020064.1	463176	464104	CRISPRDetect
NC_020064.1	1981450	1981780	CRISPRDetect
NZ_LT615375.1	2874005	2874768	CRISPRDetect
NZ_LT615375.1	2900317	2900712	CRISPRDetect
NZ_LN879430.1	558615	563347	CRISPRDetect
NZ_LT615373.1	2874005	2874768	CRISPRDetect
NZ_LT615373.1	2900317	2900712	CRISPRDetect
NZ_CP075062.1	1101874	1102818	CRISPRDetect
NZ_CP075062.1	1128517	1129402	CRISPRDetect
NC_019952.1	335310	335489	CRISPRDetect
NC_019952.1	3211106	3211929	CRISPRDetect
NC_019952.1	3213663	3214772	CRISPRDetect
NZ_LT670848.1	466907	471502	CRISPRDetect
NZ_LT670848.1	1708166	1712231	CRISPRDetect
NZ_CP011394.1	940996	941635	CRISPRDetect
NZ_CP011394.1	957787	958305	CRISPRDetect
NZ_CP011394.1	1583168	1583798	CRISPRDetect
NZ_LT906466.1	451232	451519	CRISPRDetect
NZ_LT906466.1	460506	461119	CRISPRDetect
NZ_LT907981.1	6873839	6874844	CRISPRDetect
NZ_LT907981.1	6877417	6878547	CRISPRDetect
NZ_LT907981.1	6894078	6895078	CRISPRDetect
NZ_LT907981.1	6897082	6897293	CRISPRDetect
NZ_LT907981.1	6899795	6901045	CRISPRDetect
NZ_LT907981.1	6903093	6904099	CRISPRDetect
NZ_CP075511.1	2123484	2123698	CRISPRDetect
NZ_CP075511.1	2179069	2179216	CRISPRDetect
NZ_LN813019.1	4734636	4738265	CRISPRDetect
NZ_LT906436.1	523270	524011	CRISPRDetect
NZ_LT906436.1	2599218	2601236	CRISPRDetect
NZ_LS483487.1	1516060	1517186	CRISPRDetect
NZ_LS483487.1	1526150	1527666	CRISPRDetect
NZ_LS483487.1	1655995	1656804	CRISPRDetect
NZ_LS483487.1	2206572	2206927	CRISPRDetect
NZ_LS483487.1	2424027	2424187	CRISPRDetect
NZ_CP076082.1	318412	320693	CRISPRDetect
NZ_CP076082.1	555629	556308	CRISPRDetect
NZ_LT907980.1	1542857	1545203	CRISPRDetect
NZ_LT635772.1	762011	762161	CRISPRDetect
NZ_LT635772.1	772404	773166	CRISPRDetect
NZ_LS483402.1	16480	18586	CRISPRDetect
NZ_LS483402.1	585781	587276	CRISPRDetect
NZ_LS483402.1	662021	662861	CRISPRDetect
NZ_CP012347.1	3855034	3855185	CRISPRDetect
NZ_CP012347.1	3871328	3871723	CRISPRDetect
NZ_LT615374.1	2874005	2874768	CRISPRDetect
NZ_LT615374.1	2900317	2900712	CRISPRDetect
NZ_LT629709.1	2428597	2428798	CRISPRDetect
NZ_LT634361.1	2135962	2137577	CRISPRDetect
NZ_CP036111.1	2408404	2408634	CRISPRDetect
NZ_LR134171.1	711057	711233	CRISPRDetect
NZ_LR134171.1	723205	723453	CRISPRDetect
NZ_LT605205.1	1544926	1547894	CRISPRDetect
NZ_LT605205.1	2222274	2229582	CRISPRDetect
NZ_LS991409.1	818084	821282	CRISPRDetect
NZ_CM001798.1	2743054	2743459	CRISPRDetect
NZ_LT615371.1	2874005	2874768	CRISPRDetect
NZ_LT615371.1	2900317	2900712	CRISPRDetect
NZ_LS991952.1	895466	897480	CRISPRDetect
NZ_LS483447.1	825383	826197	CRISPRDetect
NZ_LS483447.1	1797627	1800034	CRISPRDetect
NZ_LS483447.1	1802956	1803382	CRISPRDetect
NZ_LT629775.1	181892	182430	CRISPRDetect
NZ_LT629775.1	8143952	8145005	CRISPRDetect
NZ_LT629775.1	8154720	8155359	CRISPRDetect
NZ_LT629775.1	9782406	9782907	CRISPRDetect
NZ_LT629775.1	9788847	9790190	CRISPRDetect
NZ_LT670847.1	1658003	1659072	CRISPRDetect
NZ_LT670847.1	1661713	1665221	CRISPRDetect
NZ_CP007203.1	1617371	1618925	CRISPRDetect
NZ_CP007203.1	3455272	3455453	CRISPRDetect
NZ_CP007203.1	3457129	3458303	CRISPRDetect
NZ_LT629773.1	37497	39292	CRISPRDetect
NZ_LT576787.1	2180015	2183965	CRISPRDetect
NZ_LT906478.1	451229	451516	CRISPRDetect
NZ_LT906478.1	460503	461116	CRISPRDetect
NZ_LS483329.1	413761	413925	CRISPRDetect
NZ_LS483329.1	821263	821830	CRISPRDetect
NZ_LT907978.1	1783034	1783328	CRISPRDetect
NZ_LT907978.1	2069965	2072213	CRISPRDetect
NZ_LT907978.1	2463064	2465457	CRISPRDetect
NC_020384.1	179628	180315	CRISPRDetect
NC_020384.1	187288	187650	CRISPRDetect
NZ_LS483397.1	1111734	1112760	CRISPRDetect
